数据库售前支持工程师,甲骨文（中国）软件系统有限公司,2-4万/月
数据库工程师,比亚迪汽车工业有限公司,1-1.5万/月
数据分析算法工程师,富士康科技集团金机虎,20-30万/年
软件测试工程师（数据产品）,深圳市睿服科技有限公司,1.1-1.6万/月
数据运营,深圳仁辉信息科技有限公司,6-8千/月
数据专员(J11635),深圳依时货拉拉科技有限公司,5-7千/月
数据工程师（ETL）,广州安正软件股份有限公司,0.8-1.1万/月
需求规划师/数据分析师,深圳悦策科技有限公司,1-1.5万/月
数据运营,深圳市玩呗娱乐科技有限公司,1.5-2.5万/月
医学数据影像处理专员,深圳市铱硙医疗科技有限公司,0.6-1.2万/月
金融数据分析员（***）,深圳市捷旅会展服务有限公司,0.5-1万/月
数据专员,深圳百高文化传播有限公司,4.5-6千/月
数据库开发工程师（SQL Server）,晨星资讯（深圳）有限公司,1-1.6万/月
数据中心值班长（电工值班）,才聚企业管理服务（上海）有限公司,7-8.5千/月
数据专员,深圳市辅文科技有限公司,4.5-6千/月
数据库开发工程师,深圳华云信息系统有限公司,0.7-1.4万/月
数据分析岗,招银金融信息服务（深圳）有限公司,0.6-1万/月
数据库工程师,深圳市恒源昊信息科技有限公司,1.2-2万/月
大数据开发工程师,深圳市爱牙邦医疗器械有限公司,1.5-2万/月
大数据开发工程师,深圳市全民点游科技有限公司,2-3万/月
资产管理数据专员,深圳安仕德资产管理有限公司,4-5千/月
后端数据库工程师,深圳市汇智伟业信息技术有限公司,1-1.5万/月
数据分析专员（正式编制+待遇从优）,中国太平洋财产保险股份有限公司深圳市福田支公司,5-7千/月
Business Analyst/数据分析师,亚马逊中国,
大数据开发工程师,TCL电子集团智能家居业务中心,1.5-2.5万/月
数据运营专员,瑞庭网络技术（上海）有限公司深圳分公司,7-9千/月
java大数据平台架构师,深圳市数聚能源科技有限公司,2-3.5万/月
大数据架构师,中电科新型智慧城市研究院有限公司,2.5-4万/月
数据线生产经理,深圳市宝润联科技有限公司,0.8-1万/月
高级数据库管理员,即有集团,1.2-2万/月
数据库开发工程师（oracle）,上海易宝软件有限公司深圳分公司,1.5-2万/月
大数据开发工程师,意礴数字科技（深圳）有限公司,1-1.5万/月
大数据工程师,深圳蚂蚁空间网络科技有限公司,0.7-1.3万/月
数据分析师,魅动力,0.8-1.5万/月
大数据架构师,深圳集客拍大数据智能科技有限公司,1.8-2.5万/月
数据分析专员,基石科技创新（深圳）有限公司,0.7-1万/月
数据分析专员,深圳市赛泰克生物科技有限公司,4.5-6千/月
DBA （数据库） 工程师,深圳前海六丁神火网络技术有限公司,1.2-2万/月
高级数据开发工程师,深圳趣凡网络科技有限公司,1.5-3万/月
XWJ-数据运营工程师,顺丰科技有限公司,1.5-2.5万/月
数据录入员,深圳市环国运物流股份有限公司,4.5-6千/月
数据专员,深圳爱华国际教育科技有限公司,6-8千/月
数据分析师,深圳市水务科技有限公司,0.8-2万/月
数据文员,深圳市德圣铭达商贸有限公司,5-7千/月
系统运维岗（托管外包数据处理方向）,安信证券股份有限公司,1.5-2万/月
横岗数据文员岗,深圳融信联资产管理有限公司,3.5-6千/月
业务支持专员（数据）,深圳市六度人和科技有限公司,4.5-6千/月
数据运营专员Data Operations Associate-New Graduate,飞协博国际货运代理（上海）有限公司,0.5-2万/月
数据文员,深圳市中誉宏智能家居有限公司,6-8千/月
数据库开发-深圳-04027,武汉佰钧成技术有限责任公司,6-8千/月
a（有无经验均可）数据分析师/助理,深圳市中创荣投资有限公司,0.8-1万/月
数据管理员,深圳千羽医疗美容医院,5-6千/月
总经理助理（业务数据分析）,金宝贝,6-9千/月
互联网金融大数据销售（深圳）,零壹智库信息科技（北京）有限公司,0.6-1.2万/月
大数据开发工程师,深圳萨摩耶互联网金融服务有限公司,2-4万/月
数据录入专员,北京恒信凯特经贸有限责任公司,3-4.5千/月
CEO助理（数据分析方向）,深圳丹晴科技有限公司,4.5-6千/月
TEC数据分析文员,时丰运通物流（深圳）有限公司,4.5-6千/月
数据处理文员(J11969),深圳市银雁金融服务有限公司,4.5-6千/月
大数据算法架构师,深圳市有芯电子有限公司,2-4万/月
营销数据分析经理,深圳百果园实业发展有限公司,1.5-2万/月
数据文员,乐格商业咨询（深圳）有限公司,4-5千/月
数据经理,AAC Technologies Holdings Inc.,2-3万/月
数据线助理工程师,深圳市信美通新技术有限公司,4.5-6千/月
数据分析师,深圳天极数据科技有限公司,0.8-2.5万/月
数据录入员,深圳市通舜国际货运代理有限公司,4.5-6千/月
数据运营分析师,广州赛意信息科技股份有限公司,0.8-1万/月
工业大数据产品经理,中兴新通讯有限公司,2.5-3万/月
软件工程师（数据可视化方向）,深圳市大疆创新科技有限公司,2-3万/月
数据库工程师,深圳华远云联数据科技有限公司,15-20万/年
数据分析员,深圳市沁泽通达科技有限公司,4.5-6千/月
金融助理/数据分析/金融讲师 双休五险+有无经验均可,深圳市立诚投资咨询有限公司,0.8-1万/月
数据助理,深圳斯达领科网络科技有限公司,4-6千/月
数据策划师,深圳市今日投资数据科技有限公司,1-2万/月
数据处理工程师,富士康科技集团人资总处,0.8-1万/月
课程规划师/精准数据资源/成单周期短,升学教育集团（深圳总部）,0.8-1万/月
500强通讯  大数据工程师,北京外企德科人力资源服务上海有限公司,1.2-2.5万/月
IDC总工程师（数据中心）,深圳市赛为智能股份有限公司,1.5-3万/月
