水产统计员,深圳市腾浪再生资源发展有限公司,4-5千/月
财务统计文员,瑞尔健身管理（深圳）有限公司,3-5千/月
统计员（费率）,深圳市天一泓电讯有限公司,4-7千/月
财务统计员+五险一金,创富区块链技术（深圳）有限公司,3.5-5千/月
上市物流公司统计文员（储备干部）,深圳前海银狐投资管理有限公司,4.5-6千/月
统计员不限经验4700,深圳市鑫达盛物流有限公司,4.5-6千/月
急招数据统计文员,深圳金润吉金融服务有限公司,4.5-6千/月
数据统计员/数据分析员,深圳市利朗达科技有限公司,4-6千/月
统计员,深圳市双马池科技有限公司,5-6千/月
统计文员,欣旺达电子股份有限公司,4.5-6千/月
数据统计员,比户环保科技（深圳）有限公司,4.5-6千/月
统计员/财务文员,深圳市微智盛电子商务有限公司,4.5-6千/月
统计员,深圳市中电数通智慧安全科技股份有限公司,5-5.5千/月
统计文员（惠州分公司上班）,深圳市国信达科技股份有限公司,4-5.5千/月
统计员,深圳市楚深中侨国际货运代理有限公司,3.9-4千/月
生产统计员,深圳麦娇奴服饰有限公司,4.6-5千/月
事故调查及统计分析岗,深圳市城市公共安全技术研究院有限公司,1-1.5万/月
统计专员,深圳前海汇能科技产业有限公司,4-6千/月
AP-统计学老师,深圳卡尔顿教育科技有限公司,1-1.5万/月
教学助理 - 统计学,香港中文大学（深圳）,6-8千/月
统计员,深圳市安托山技术有限公司,4-6千/月
文员（数据/统计专员）,深圳市韵达速递有限公司,3.8-5千/月
统计文员,深圳市明天新能源科技有限公司,4-5.5千/月
财务统计,哥弟/阿玛施（女装）,5.5-7千/月
统计员,多鱼食品（深圳）有限公司,4-5千/月
AP统计/计算机老师,深圳市讯得达教育发展有限公司,270元/天
财务统计员,深圳宏伟世通物流股份有限公司,4.5-6千/月
统计员,广州富宏智能科技有限公司,3.5-5千/月
仓库统计员,深圳绵俪日用化工有限公司,3-4.5千/月
报关文员/统计员,深圳市中电汇通国际物流有限公司,5-6千/月
统计员/会计,深圳市绿发鹏程环保科技有限公司,4.5-6千/月
数据统计员,新百丽鞋业(深圳)有限公司,4.5-6千/月
仓库统计员,深圳市春在东方家居有限公司,3-4.5千/月
数据统计员,深圳市易佰网络科技有限公司,4.5-6千/月
财务统计文员（双休）,赛亿扬贸易（深圳）有限公司,3-4.5千/月
统计员,广东广恒美电器有限公司,4-5千/月
统计员,珠海横琴晋千国际投资控股有限公司,4-6千/月
统计员/品质助理/文员,深圳市星科启电子商务有限公司,4-6千/月
统计员,深圳市土川农产品有限公司,3-4.5千/月
数据专员/统计会计,深圳万谷盛世互联网科技有限公司,5-8千/月
数据统计员,深圳市易购城科技股份有限公司,4-6千/月
统计文员,深圳市值值信息技术服务有限公司,4.5-7千/月
统计专员,深圳市鑫宇环检测有限公司,4-6千/月
运营专员（偏数据统计）,深圳市三合成科技有限公司,4-6千/月
数据统计文员,周六福珠宝股份有限公司,3-5千/月
生产统计文员,深圳市前海荣群铝业科技有限公司,3.5-4千/月
