客户经理/证券经纪人（张经理）,招商证券股份有限公司深圳科技园高新南一道证券营业部,3-4.5千/月
证券经纪人营销顾问,申万宏源证券有限公司深圳彩田路证券营业部,0.3-1.5万/月
证券初级经纪人,招商证券股份有限公司深圳东门南路证券营业部,6-8千/月
平安综合金融--银行、保险、基金、证券、信托,中国平安人寿保险股份有限公司深圳分公司,1.5-2万/月
证券事务专员,深圳友宝科斯科技有限公司,6-8千/月
急聘综合金融营销员：保险、 银行、证券,中国平安人寿保险股份有限公司深圳分公司,1-1.5万/月
证券/证券经纪人（高比例提成）,海通证券股份有限公司深圳深南大道证券营业部,1-1.5万/月
招商证券客户经理（壹海城）廖经理,招商证券股份有限公司深圳壹海城证券营业部,10-15万/年
证券经纪人,华宝证券有限责任公司,0.3-1.1万/月
银行驻点证券经纪人/客户经理/实习生(郭经理),招商证券股份有限公司深圳科技园高新南一道证券营业部,4.5-6千/月
证券公司机构业务经理,西藏东方财富证券股份有限公司,0.8-1万/月
光大证券深圳分公司校园招聘,光大证券股份有限公司深圳分公司,6-8千/月
证券分析师,深圳恒信通股权投资基金管理有限公司,3-5万/月
私募证券基金公司机构合作负责人（场内期权方向）,深圳智钰投资管理有限公司,20-40万/年
手机证券开发岗(Java),安信证券股份有限公司,1.5-4万/月
证券经纪人,申万宏源证券有限公司深圳彩田路证券营业部,0.3-1.2万/月
广发证券深圳分公司综合后勤岗,广发证券股份有限公司深圳分公司,7-8千/月
证券事务代表,深圳可立克科技股份有限公司,6-8千/月
法务专员兼证券,深圳市柏星龙创意包装股份有限公司,1-1.5万/月
证券投资顾问助理,招商证券股份有限公司深圳布龙路证券营业部,6-8千/月
招商证券金融实习生（金鹰团队）,招商证券股份有限公司深圳笋岗路证券营业部,4.5-6千/月
大客户经理(银行/基金/证券),深圳市今日投资数据科技有限公司,20-40万/年
证券基金经理,重庆逸合实业（集团）有限公司,1-2万/月
证券经纪人,第一创业证券股份有限公司,2-4千/月
平安综合金融--银行、保险、基金、证券、信托...,中国平安人寿保险股份有限公司深圳分公司,1-1.5万/月
急聘平安综合金融--银行、保险、基金、证券、信托,中国平安人寿保险股份有限公司深圳分公司,1.5-2千/月
证券事务代表,深圳市科源建设集团有限公司,1.2-2万/月
证券经纪人,国泰君安证券深圳红荔西路营业部,0.6-3万/月
证券事务代表,深圳市中电数通智慧安全科技股份有限公司,0.7-1.5万/月
证券经纪人,联讯证券股份有限公司,0.2-1万/月
证券经纪人,深圳市顺通芯微电子有限公司,0.8-1.6万/月
外拓证券经纪人,招商证券股份有限公司深圳宝源路证券营业部,4-8千/月
证券客服：5000-7000/行政班+住宿,深圳市清亮网络科技有限公司,5.2-6.7千/月
证券事务经理,山竹商业运营（深圳）有限公司,1.2-2万/月
渗透测试工程师(安信证券),深圳市易聆科信息技术股份有限公司,1.5-2万/月
银行驻点客户经理 / 储备区域经理 / 证券经纪人,招商证券股份有限公司深圳深南东路证券营业部,4-8千/月
证券事务主管,中控智慧科技股份有限公司,1.2-2万/月
诚聘 贷款 信托 证券销售代表（福田）,中国平安人寿保险股份有限公司深圳分公司,1-1.5万/月
销售专员（贷款、银行、信用卡、证券、车险等）,中国平安人寿保险股份有限公司深圳分公司,0.8-1万/月
证券经纪人3K--------10k,招商证券股份有限公司深圳五和大道证券营业部,0.3-1万/月
证券经纪人（高端客户方向）,国泰君安证券股份有限公司深圳香蜜湖路证券营业部,0.8-1.2万/月
证券/期货/外汇经纪人,恒泰证券股份有限公司,1-1.5万/月
证券经纪人,国开证券股份有限公司深圳福中三路证券营业部,6-8千/月
证券事务专员,广东东方精工科技股份有限公司,0.8-1.5万/月
